iter	Passed	Remaining
419	3372	642
420	3381	634
421	3389	626
422	3396	618
423	3404	610
424	3412	602
425	3420	594
426	3429	586
427	3438	578
428	3446	570
429	3455	562
430	3464	554
431	3472	546
432	3480	538
433	3488	530
434	3495	522
435	3502	514
436	3511	506
437	3518	498
438	3527	490
439	3535	482
440	3543	474
441	3550	465
442	3558	457
443	3566	449
444	3573	441
445	3582	433
446	3590	425
447	3597	417
448	3604	409
449	3612	401
450	3620	393
451	3628	385
452	3636	377
453	3645	369
454	3652	361
455	3661	353
456	3669	345
457	3677	337
458	3685	329
459	3693	321
460	3701	313
461	3710	305
462	3718	297
463	3725	289
464	3734	281
465	3741	272
466	3750	264
467	3758	256
468	3766	248
469	3773	240
470	3782	232
471	3789	224
472	3797	216
473	3805	208
474	3812	200
475	3819	192
476	3828	184
477	3837	176
478	3846	168
479	3854	160
480	3862	152
481	3869	144
482	3878	136
483	3886	128
484	3893	120
485	3901	112
486	3909	104
487	3918	96
488	3926	88
489	3934	80
490	3941	72
491	3950	64
492	3958	56
493	3966	48
494	3975	40
495	3983	32
496	3991	24
497	3999	16
498	4006	8
499	4014	0
