iter	Logloss
0	0.6816371343
1	0.6705499999
2	0.6610661231
3	0.652056316
4	0.6445677253
5	0.6380414646
6	0.6312076228
7	0.6251412655
8	0.6196054279
9	0.6142423107
10	0.6097002886
11	0.6056339059
12	0.6018281388
13	0.5987423957
14	0.5953879818
15	0.5926477378
16	0.5900282589
17	0.5874965882
18	0.585526585
19	0.5834682271
20	0.5814510756
21	0.5796573877
22	0.5777401342
23	0.5757744047
24	0.5739302037
25	0.5723191792
26	0.5709026026
27	0.5694098647
28	0.5682598329
29	0.5670324546
30	0.5656761137
31	0.5646695065
32	0.5636398197
33	0.5624657114
34	0.5614177094
35	0.5604332991
36	0.5593933253
37	0.5585847354
38	0.5576610047
39	0.5566361151
40	0.5558840744
41	0.5549974533
42	0.5541469964
43	0.553342322
44	0.5526234215
45	0.5518597044
46	0.5508776963
47	0.5504788624
48	0.5498964839
49	0.5493093512
50	0.548693556
51	0.5481764775
52	0.5476968633
53	0.5470635999
54	0.5464538986
55	0.5458396165
56	0.5452348051
57	0.5446512985
58	0.5439146683
59	0.5433890479
60	0.5428502366
61	0.5423870512
62	0.542075266
63	0.5414156599
64	0.5408751747
65	0.5403424813
66	0.5396527185
67	0.5392741604
68	0.5389219103
69	0.5384221723
70	0.5380850252
71	0.5376849196
72	0.5373542661
73	0.5365961114
74	0.5361441475
75	0.5355605472
76	0.5350019116
77	0.5345185029
78	0.5342200726
79	0.5339657945
80	0.5335701236
81	0.5332738171
82	0.5330023817
83	0.5325157344
84	0.5321353545
85	0.5317379013
86	0.5312208521
87	0.5308912251
88	0.530555027
89	0.530160234
90	0.5298433679
91	0.5296068989
92	0.5293298509
93	0.5289109104
94	0.5284690801
95	0.5282235328
96	0.5277762929
97	0.5275018187
98	0.5273622912
99	0.5267714765
100	0.5263822947
101	0.5261310608
102	0.5258752816
103	0.5255808741
104	0.5251740129
105	0.5249322432
106	0.5245571997
107	0.5242815305
108	0.5240097997
109	0.5237121983
110	0.5234631578
111	0.5232556654
112	0.5229586352
113	0.5227550508
114	0.5224555375
115	0.5221960908
116	0.5218758207
117	0.521638348
118	0.5213396217
119	0.5210357559
120	0.5207148649
121	0.5203618389
122	0.5201277969
123	0.5198011228
124	0.5194785188
125	0.5192169074
126	0.5188605058
127	0.5186175032
128	0.5184248969
129	0.5181149649
130	0.5179203856
131	0.5176809348
132	0.5172892304
133	0.5169492234
134	0.5166872315
135	0.5165015534
136	0.5159892354
137	0.5157276203
138	0.5154182435
139	0.5151165607
140	0.5148516153
141	0.5146224533
142	0.5141943025
143	0.514050674
144	0.5138553712
145	0.5134792753
146	0.5132621805
147	0.5131690587
148	0.513039862
149	0.5129479185
150	0.5127396155
151	0.5125670143
152	0.5124534781
153	0.5122905791
154	0.5120445028
155	0.5118985471
156	0.5117090873
157	0.5114256907
158	0.5112651472
159	0.5110332651
160	0.5108414677
161	0.5104362791
162	0.5102571332
163	0.5099980458
164	0.5097808559
165	0.5096145763
166	0.5094698944
167	0.5092700312
168	0.5090512186
