iter	Passed	Remaining
401	3217	784
402	3224	776
403	3232	768
404	3240	760
405	3248	752
406	3255	743
407	3262	735
408	3270	727
409	3277	719
410	3285	711
411	3293	703
412	3302	695
413	3308	687
414	3316	679
415	3324	671
416	3332	663
417	3340	655
418	3347	647
419	3355	639
420	3364	631
421	3371	623
422	3379	615
423	3386	607
424	3394	599
425	3401	590
426	3410	583
427	3418	575
428	3426	567
429	3434	559
430	3442	551
431	3450	543
432	3457	535
433	3465	527
434	3472	518
435	3479	510
436	3487	502
437	3494	494
438	3502	486
439	3510	478
440	3517	470
441	3524	462
442	3531	454
443	3539	446
444	3546	438
445	3554	430
446	3562	422
447	3569	414
448	3576	406
449	3583	398
450	3591	390
451	3598	382
452	3606	374
453	3614	366
454	3621	358
455	3630	350
456	3637	342
457	3645	334
458	3653	326
459	3661	318
460	3668	310
461	3677	302
462	3684	294
463	3691	286
464	3699	278
465	3706	270
466	3714	262
467	3722	254
468	3730	246
469	3737	238
470	3745	230
471	3752	222
472	3760	214
473	3767	206
474	3773	198
475	3781	190
476	3789	182
477	3797	174
478	3806	166
479	3813	158
480	3821	150
481	3828	142
482	3837	135
483	3844	127
484	3851	119
485	3858	111
486	3865	103
487	3874	95
488	3882	87
489	3889	79
490	3896	71
491	3904	63
492	3912	55
493	3919	47
494	3927	39
495	3935	31
496	3943	23
497	3950	15
498	3957	7
499	3964	0
